nprocs, max iterations, CT, absErrorBound, BER, compression ratio, time, gosa, resent, resent ratio
4, 1000, 8, 1.000000e-06, 2.360155e+00, 1.676210, 0.000000, 0.000000, 0, 2.360155
4, 1000, 8, 1.000000e-06, 1.000000e-10, 2.360155, 1.626498, 0.000000, 0, 0.000000
4, 1000, 8, 1.000000e-06, 1.000000e-09, 2.360155, 1.648114, 0.000000, 0, 0.000000
4, 1000, 8, 1.000000e-06, 1.000000e-08, 2.360155, 1.708399, 0.000000, 3, 0.000500
4, 1000, 8, 1.000000e-06, 1.000000e-07, 2.360155, 1.611921, 0.000000, 3, 0.000500
4, 1000, 8, 1.000000e-06, 1.000000e-06, 2.360155, 1.639902, 0.000000, 21, 0.003500
4, 1000, 8, 1.000000e-05, 2.640491e+00, 1.607821, 0.000002, 0.000000, 0, 2.640491
4, 1000, 8, 1.000000e-05, 1.000000e-10, 2.640491, 1.612990, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-09, 2.640491, 1.696402, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-08, 2.640491, 1.609528, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-07, 2.640491, 1.605067, 0.000002, 0, 0.000000
4, 1000, 8, 1.000000e-05, 1.000000e-06, 2.640491, 1.607964, 0.000002, 9, 0.001500
4, 1000, 8, 1.000000e-04, 3.095097e+00, 1.583978, 0.000018, 0.000000, 0, 3.095097
4, 1000, 8, 1.000000e-04, 1.000000e-10, 3.095097, 1.579586, 0.000018, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-09, 3.095097, 1.581902, 0.000018, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-08, 3.095097, 1.590622, 0.000018, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-07, 3.095097, 1.588892, 0.000018, 0, 0.000000
4, 1000, 8, 1.000000e-04, 1.000000e-06, 3.095097, 1.579046, 0.000018, 6, 0.001000
4, 1000, 8, 1.000000e-03, 4.081755e+00, 1.565598, 0.000349, 0.000000, 0, 4.081755
4, 1000, 8, 1.000000e-03, 1.000000e-10, 4.081755, 1.615144, 0.000349, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-09, 4.081755, 1.552333, 0.000349, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-08, 4.081755, 1.553227, 0.000349, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-07, 4.081755, 1.570142, 0.000349, 0, 0.000000
4, 1000, 8, 1.000000e-03, 1.000000e-06, 4.081755, 1.552210, 0.000349, 24, 0.004000
4, 1000, 8, 1.000000e-02, 5.405611e+00, 1.523818, 0.002231, 0.000000, 0, 5.405611
4, 1000, 8, 1.000000e-02, 1.000000e-10, 5.405611, 1.514553, 0.002231, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-09, 5.405611, 1.528816, 0.002231, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-08, 5.405611, 1.517788, 0.002231, 0, 0.000000
4, 1000, 8, 1.000000e-02, 1.000000e-07, 5.405611, 1.526721, 0.002231, 3, 0.000500
4, 1000, 8, 1.000000e-02, 1.000000e-06, 5.405611, 1.516908, 0.002231, 9, 0.001500
4, 1000, 8, 1.000000e-02, 5.405611e+00, 1.605212, 0.002231, 0.000000, 0, 5.405611
4, 1000, 8, 1.000000e-02, 5.405611, 1.616238, 0.002231, 0.000000, 0, 5.405611
4, 1000, 8, 1.000000e-02, 0.000000, 5.405611, 1.543539, 0.002231, 0, 0.000000
